Epoch,Batch,Training Loss,Time,Throughput (Seq/sec),Disk Read IOPS,Disk Write IOPS
0,0,11.974405288696289,2.4738974571228027,3.233763783121462,1462607.9143184097,452243.88617190096
0,1,11.831392288208008,2.743234634399414,5.832530618914023,2638011.3130878257,815686.3331852362
0,2,11.4495210647583,3.201270818710327,7.497022701024934,3390849.014258995,1048468.933144551
0,3,11.606732368469238,3.8147380352020264,8.388518347710159,3794116.1008801716,1173146.611563589
0,4,11.43498420715332,4.2628560066223145,9.383380517160397,4244124.589686837,1312285.9395929936
0,5,11.80954360961914,4.646416187286377,10.33054252250124,4672552.807345385,1444753.7046655559
0,6,11.432709693908691,5.058783769607544,11.069854445339226,5006965.933624993,1548152.3537440267
0,7,10.8620023727417,5.495177268981934,11.646576055199214,5267835.700842278,1628814.9702690558
0,8,10.817343711853027,5.89293646812439,12.218017348304492,5526315.645205864,1708738.2588404058
0,9,11.300326347351074,6.28319239616394,12.732381082082123,5758977.3985103145,1780678.4027226013
0,10,11.523385047912598,6.649813413619995,13.233454012372802,5985626.441559367,1850759.8987353027
0,11,10.813886642456055,7.0839409828186035,13.551778626168467,6129615.577729312,1895285.411406398
0,12,10.107199668884277,7.496260404586792,13.873584212251318,6275178.350423507,1940297.0567965142
0,13,10.40310287475586,7.920975923538208,14.139671813315006,6395538.566082556,1977515.668675728
0,14,10.546621322631836,8.330070972442627,14.405639567415642,6515844.004157893,2014718.3686093846
0,15,10.112712860107422,8.751930475234985,14.625344701057312,6615223.8256263705,2045450.5495279713
0,16,10.343390464782715,9.175627946853638,14.821873858413689,6704120.45434924,2072941.2864350309
0,17,10.23248291015625,9.467098474502563,15.210573798068188,6879938.048116937,2127309.127948857
0,18,10.221162796020508,9.83857274055481,15.44939535522797,6987963.479357577,2160715.030582903
0,19,10.818512916564941,10.252526760101318,15.605909035288276,7058759.7275664,2182609.1775817866
0,20,9.936345100402832,10.652177095413208,15.77142385966717,7133627.08105186,2205761.8634708365
0,21,9.742898941040039,11.060118913650513,15.913029631424576,7197679.846077241,2225571.27931236
0,22,7.052678108215332,11.443671941757202,16.078755222665563,7272642.157480486,2248753.733152585
0,23,5.191515922546387,11.840677738189697,16.215288030409194,7334400.016639376,2267853.124098748
0,24,3.6350324153900146,12.284406900405884,16.280802290372836,7364035.051379734,2277019.739477678
0,25,3.0708553791046143,12.692252397537231,16.387950182928897,7412501.426323296,2292008.9428449036
0,26,2.1718432903289795,13.085941314697266,16.506263844955736,7466018.122079605,2308559.5658350145
0,27,1.9290863275527954,13.485532760620117,16.610393076506057,7513118.895522299,2323126.2387708137
0,28,1.8079800605773926,13.895009279251099,16.696642322249975,7552132.200206476,2335192.035348452
0,29,1.5798972845077515,14.282513856887817,16.80376454767161,7600586.569544867,2350176.960186348
0,30,1.3897278308868408,14.686446189880371,16.88631795559114,7637928.02899404,2361725.808378326
0,31,1.3435083627700806,15.133118152618408,16.91654009558536,7651599.21651474,2365956.482921199
0,32,1.2591136693954468,15.525521516799927,17.004259709687027,7691277.2862919355,2378228.5806016843
0,33,1.0528379678726196,15.97545337677002,17.026120860864985,7701166.539592419,2381289.5385690467
0,34,0.9937021136283875,16.414507627487183,17.058080958281163,7715623.634541389,2385762.819618305
0,35,1.001595139503479,16.794983386993408,17.147977664749387,7756286.2670577485,2398339.1987868366
0,36,0.8186570405960083,17.221068143844604,17.18824857596307,7774502.364294699,2403975.1573015763
0,37,0.7294526696205139,17.62293839454651,17.250244720487366,7802545.064933729,2412649.528024076
0,38,0.6131823658943176,18.018264055252075,17.31576355209737,7832181.089546459,2421816.544934052
0,39,0.607593834400177,18.424437761306763,17.368236911523745,7855916.412492697,2429158.8476035898
0,40,0.5063721537590027,18.851518630981445,17.39912876095562,7869890.055232974,2433482.569653948
0,41,0.5221444964408875,19.27789568901062,17.429288207609563,7883532.386091037,2437703.977555437
0,42,0.4073539972305298,19.674985885620117,17.484129442319944,7908338.633865094,2445377.3578137225
0,43,0.41427338123321533,20.074979305267334,17.53426465090508,7931016.245592078,2452392.4160201964
