Core Time,CPU Utilization,Thread Count,RAM Utilization (%),RAM Utilization (MB)
134.0,3.3,3,32.5,21278.328125
135.0,4.1,3,32.6,21286.69140625
136.0,5.0,3,32.7,21348.9296875
137.0,3.4,3,32.6,21316.7265625
138.0,4.7,3,32.6,21284.53125
139.0,3.8,3,32.5,21265.0078125
140.0,5.6,3,32.5,21242.765625
141.0,5.2,3,32.5,21243.7109375
142.0,3.5,3,32.5,21230.54296875
143.0,4.5,3,32.5,21229.01171875
144.0,3.7,3,32.4,21195.86328125
145.0,5.2,3,32.4,21200.66796875
146.0,4.1,3,32.4,21204.82421875
147.0,4.7,3,32.4,21216.1640625
148.0,3.2,3,32.5,21235.33203125
149.0,3.8,3,32.5,21233.9375
150.0,4.2,3,32.5,21264.65625
151.0,5.0,3,32.5,21262.5625
152.0,4.3,3,32.6,21303.734375
153.0,3.6,3,32.6,21308.51953125
154.0,5.4,3,32.6,21299.15625
155.0,4.9,3,32.6,21306.1640625
156.0,3.7,3,32.6,21306.5703125
157.0,5.0,3,32.6,21313.41796875
158.0,5.5,3,32.6,21308.6015625
159.0,3.4,3,32.6,21301.89453125
160.0,3.1,3,32.6,21302.84375
161.0,3.4,3,32.6,21300.28515625
162.0,4.2,3,32.6,21295.796875
163.0,4.9,3,32.6,21308.3828125
164.0,4.9,3,32.6,21290.015625
165.0,4.6,3,32.5,21271.6640625
166.0,4.3,3,32.5,21278.7890625
167.0,3.7,3,32.4,21208.1875
168.0,4.1,3,32.4,21209.4140625
169.0,3.9,3,32.4,21210.4140625
170.0,4.0,3,32.4,21208.6328125
171.0,5.1,3,32.5,21232.97265625
172.0,4.2,3,32.5,21244.32421875
173.0,3.4,3,32.5,21233.2265625
174.0,4.2,3,32.5,21221.01171875
175.0,4.2,3,32.4,21216.02734375
176.0,4.1,3,32.4,21208.23828125
177.0,5.4,3,32.5,21248.98046875
178.0,5.2,3,32.5,21249.30859375
179.0,4.3,3,32.4,21213.671875
180.0,4.5,3,32.4,21212.79296875
181.0,3.7,3,32.4,21211.61328125
182.0,3.8,3,32.5,21281.92578125
183.0,5.4,3,32.5,21276.15625
184.0,3.4,3,32.5,21277.890625
185.0,3.5,3,32.5,21275.32421875
186.0,3.5,3,32.5,21276.3671875
187.0,3.7,3,32.5,21282.6015625
188.0,4.4,3,32.5,21282.5546875
189.0,4.0,3,32.5,21280.90625
190.0,4.4,3,32.6,21284.8359375
191.0,3.9,3,32.6,21284.85546875
192.0,3.6,3,32.6,21285.3125
193.0,2.9,3,32.6,21287.61328125
194.0,4.8,3,32.6,21286.81640625
