Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

03:27:21 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:29:27 PM 499564780 497890256  28670272      5.43        24  11976464  76429636     14.24   3082072  16647332         0
03:29:29 PM 499510568 497836120  28724484      5.44        24  12044000  76492220     14.25   3082072  16700684         0
03:29:31 PM 499389056 497714820  28845996      5.46        24  12026136  76628940     14.28   3082052  16821428         0
03:29:33 PM 499389324 497715108  28845728      5.46        24  12002952  76571008     14.27   3082052  16820680         0
03:29:35 PM 499479816 497805508  28755236      5.44        24  11976240  76461080     14.25   3082052  16731292         0
03:29:37 PM 499630260 497955980  28604792      5.42        24  11976240  76339628     14.23   3082052  16581208         0
03:29:39 PM 499514668 497840540  28720384      5.44        24  12043888  76487584     14.25   3082064  16695860         0
03:29:41 PM 499472336 497798108  28762716      5.45        24  12042768  76544400     14.26   3082056  16738556         0
03:29:43 PM 499603756 497929648  28631296      5.42        24  11976240  76343820     14.23   3082056  16606852         0
03:29:45 PM 499566904 497892948  28668148      5.43        24  11979880  76441980     14.25   3085588  16639928         0
03:29:47 PM 499560472 497886776  28674580      5.43        24  11976464  76363904     14.23   3082068  16649684         0
03:29:49 PM 499364344 497690792  28870708      5.47        24  12042768  76613944     14.28   3082048  16844860         0
03:29:51 PM 499477376 497803924  28757676      5.44        24  11976240  76468824     14.25   3082048  16731984         0
03:29:53 PM 499443680 497770048  28791372      5.45        24  11976240  76427360     14.24   3082048  16766192         0
03:29:55 PM 499391516 497718072  28843536      5.46        24  11976240  76452896     14.25   3082056  16817848         0
03:29:57 PM 499328384 497654492  28906668      5.47        24  12022492  76530724     14.26   3082056  16881172         0
03:29:59 PM 499228616 497555128  29006436      5.49        24  12043272  76643240     14.28   3082060  16979496         0
03:30:01 PM 499393792 497720592  28841260      5.46        24  11976264  76489776     14.25   3082068  16780952         0
03:30:03 PM 499320196 497646952  28914856      5.47        24  12043800  76586460     14.27   3082068  16853648         0
03:30:05 PM 499176240 497503248  29058812      5.50        24  12042904  76709364     14.29   3082080  16998216         0
03:30:07 PM 499305960 497633028  28929092      5.48        24  11976264  76516780     14.26   3082080  16868228         0
03:30:09 PM 499326952 497654184  28908100      5.47        24  11976264  76539960     14.26   3082076  16847272         0
03:30:11 PM 499316460 497643864  28918592      5.47        24  11976488  76565792     14.27   3082092  16857340         0
03:30:13 PM 499245632 497573096  28989420      5.49        24  12043604  76613264     14.28   3082092  16928128         0
03:30:15 PM 499213984 497541408  29021068      5.49        24  12030696  76558172     14.27   3082072  16959936         0
03:30:17 PM 499206048 497533768  29029004      5.50        24  12009528  76619564     14.28   3082072  16967028         0
03:30:19 PM 499230740 497558588  29004312      5.49        24  11976488  76572156     14.27   3082092  16942708         0
03:30:21 PM 499226760 497554608  29008292      5.49        24  11976376  76554492     14.27   3082084  16946504         0
03:30:23 PM 499105204 497433024  29129848      5.51        24  12040480  76686388     14.29   3082092  17066620         0
03:30:25 PM 499264912 497592872  28970140      5.48        24  12009528  76558764     14.27   3082076  16908604         0
03:30:27 PM 499242880 497570852  28992172      5.49        24  11984832  76522680     14.26   3082068  16930968         0
03:30:29 PM 499243624 497571640  28991428      5.49        24  11976488  76541704     14.26   3082092  16927592         0
03:30:31 PM 499240704 497568700  28994348      5.49        24  11976264  76544944     14.26   3082072  16930768         0
03:30:33 PM 499132156 497460104  29102896      5.51        24  12010700  76653660     14.28   3082080  17039636         0
03:30:35 PM 499287344 497615560  28947708      5.48        24  11976272  76506716     14.26   3082080  16884024         0
03:30:37 PM 499086324 497414688  29148728      5.52        24  12042800  76699196     14.29   3082080  17084128         0
03:30:39 PM 499246400 497574984  28988652      5.49        24  11976272  76555924     14.27   3082084  16923880         0
03:30:41 PM 499183428 497512116  29051624      5.50        24  12000072  76599424     14.27   3082092  16986268         0
03:30:43 PM 499136260 497464944  29098792      5.51        24  12029964  76590436     14.27   3082084  17033944         0
03:30:45 PM 499170648 497499468  29064404      5.50        24  12024656  76514468     14.26   3082080  16999080         0
03:30:47 PM 499189540 497518568  29045512      5.50        24  11976272  76583572     14.27   3082080  16979964         0
03:30:49 PM 499239112 497568200  28995940      5.49        24  11980808  76530116     14.26   3082084  16930420         0
03:30:51 PM 499227644 497556952  29007408      5.49        24  11984336  76580064     14.27   3082076  16941204         0
03:30:53 PM 499270208 497599452  28964844      5.48        24  11976272  76540272     14.26   3082084  16898788         0
03:30:55 PM 499127464 497456716  29107588      5.51        24  12014588  76648804     14.28   3082096  17040424         0
03:30:57 PM 498984836 497314128  29250216      5.54        24  12042808  76820784     14.32   3082088  17149212         0
03:30:59 PM 498928648 497257916  29306404      5.55        24  12042808  76876316     14.33   3082096  17206832         0
03:31:01 PM 499036620 497365936  29198432      5.53        24  12019736  76671904     14.29   3082092  17098824         0
03:31:03 PM 499118004 497447588  29117048      5.51        24  11976784  76680384     14.29   3082084  17016932         0
03:31:05 PM 499149400 497478952  29085652      5.51        24  11976352  76648656     14.28   3082556  16985588         0
03:31:07 PM 499004864 497334584  29230188      5.53        24  12037876  76664836     14.29   3082088  17129796         0
03:31:09 PM 499117584 497447512  29117468      5.51        24  11988372  76690108     14.29   3082088  17016864         0
03:31:11 PM 499087576 497417752  29147476      5.52        24  11987868  76623620     14.28   3082088  17046380         0
03:31:13 PM 499071860 497402080  29163192      5.52        24  11976388  76752892     14.30   3082096  17062164         0
03:31:15 PM 499071132 497401180  29163920      5.52        24  12010044  76671236     14.29   3082084  17063316         0
03:31:17 PM 498971520 497301684  29263532      5.54        24  12016596  76753504     14.30   3082084  17162728         0
03:31:19 PM 498924364 497254768  29310688      5.55        24  12025148  76818524     14.32   3082088  17208756         0
03:31:21 PM 498984344 497314648  29250708      5.54        24  12028188  76742620     14.30   3082088  17149640         0
03:31:23 PM 499004248 497334612  29230804      5.53        24  11998956  76715308     14.30   3082088  17129484         0
03:31:25 PM 499013976 497344340  29221076      5.53        24  11976500  76628284     14.28   3082112  17119960         0
03:31:27 PM 499045972 497376536  29189080      5.53        24  11976276  76676800     14.29   3082088  17087448         0
03:31:29 PM 498959764 497290540  29275288      5.54        24  12007136  76753712     14.30   3088152  17167228         0
03:31:31 PM 498928304 497259152  29306748      5.55        24  12009832  76827892     14.32   3082084  17204284         0
03:31:33 PM 498968932 497299752  29266120      5.54        24  12013704  76715816     14.30   3082100  17164140         0
03:31:35 PM 499003720 497334252  29231332      5.53        24  11976296  76722324     14.30   3082092  17129600         0
03:31:37 PM 498901724 497232308  29333328      5.55        24  12044056  76805448     14.31   3082108  17231872         0
03:31:39 PM 498871904 497202796  29363148      5.56        24  12032744  76925780     14.34   3082096  17261020         0
03:31:41 PM 498881284 497212400  29353768      5.56        24  12043944  76815996     14.31   3082104  17250936         0
03:31:43 PM 498863516 497194980  29371536      5.56        24  12020144  76838592     14.32   3082096  17268060         0
03:31:45 PM 498939884 497271360  29295168      5.55        24  11976408  76693904     14.29   3082100  17191728         0
03:31:47 PM 498990076 497321828  29244976      5.54        24  11976408  76626236     14.28   3082100  17141280         0
03:31:49 PM 498819348 497151212  29415704      5.57        24  12079840  76879956     14.33   3085136  17308480         0
03:31:51 PM 498946036 497277752  29289016      5.54        24  12044056  76692108     14.29   3082112  17185276         0
03:31:53 PM 498971032 497302848  29264020      5.54        24  11978928  76593716     14.27   3082104  17127400         0
03:31:55 PM 498981052 497312940  29254000      5.54        24  11976296  76643040     14.28   3082088  17116988         0
03:31:57 PM 498994716 497326548  29240336      5.54        24  11976408  76664356     14.29   3082104  17103068         0
03:31:59 PM 498866232 497198384  29368820      5.56        24  12011072  76799572     14.31   3082096  17231104         0
03:32:01 PM 498896464 497228560  29338588      5.55        24  12009560  76726532     14.30   3082092  17201188         0
03:32:03 PM 498769696 497102036  29465356      5.58        24  12042824  76880628     14.33   3082104  17326816         0
03:32:05 PM 498793408 497125648  29441644      5.57        24  12011072  76842696     14.32   3082092  17303396         0
03:32:07 PM 498857588 497190000  29377464      5.56        24  12043452  76709132     14.29   3082084  17239028         0
03:32:09 PM 498850860 497183436  29384192      5.56        24  12012192  76754212     14.30   3082104  17246036         0
03:32:11 PM 498790024 497122392  29445028      5.57        24  12038792  76776072     14.31   3082096  17306896         0
03:32:13 PM 498768184 497100520  29466868      5.58        24  12042824  76811232     14.31   3082088  17328888         0
03:32:15 PM 498899052 497231372  29336000      5.55        24  11976408  76686868     14.29   3082100  17198572         0
03:32:17 PM 498840284 497172616  29394768      5.56        24  11976296  76750088     14.30   3082092  17257048         0
03:32:19 PM 498659548 496992008  29575504      5.60        24  12042824  76935528     14.34   3082096  17437252         0
