[1] NVIDIA A30 | 38°C,  ?? %,  97 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 41°C,  ?? %,  98 % (E:   0 %  D:   0 %),  156 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 41°C,  ?? %,  95 % (E:   0 %  D:   0 %),  165 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 41°C,  ?? %,  98 % (E:   0 %  D:   0 %),  159 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  154 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 42°C,  ?? %,  98 % (E:   0 %  D:   0 %),  180 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  153 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 43°C,  ?? %,  98 % (E:   0 %  D:   0 %),  170 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 41°C,  ?? %,  98 % (E:   0 %  D:   0 %),  154 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 43°C,  ?? %,  98 % (E:   0 %  D:   0 %),  167 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 41°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 44°C,  ?? %,  98 % (E:   0 %  D:   0 %),  168 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 42°C,  ?? %,  98 % (E:   0 %  D:   0 %),  166 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 44°C,  ?? %,  98 % (E:   0 %  D:   0 %),  156 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 42°C,  ?? %,  98 % (E:   0 %  D:   0 %),  171 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 44°C,  ?? %,  98 % (E:   0 %  D:   0 %),  158 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 43°C,  ?? %,  98 % (E:   0 %  D:   0 %),  161 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 45°C,  ?? %,  98 % (E:   0 %  D:   0 %),  130 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  153 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 45°C,  ?? %,  96 % (E:   0 %  D:   0 %),  181 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  162 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 46°C,  ?? %,  97 % (E:   0 %  D:   0 %),  163 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 44°C,  ?? %,  98 % (E:   0 %  D:   0 %),  164 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 46°C,  ?? %,  98 % (E:   0 %  D:   0 %),  173 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 44°C,  ?? %,  98 % (E:   0 %  D:   0 %),  171 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
