[5] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   745 / 32768 MB | jgong:python/487803(742M)
[6] Tesla V100-SXM2-32GB | 35°C,  ?? %,   6 % (E:   0 %  D:   0 %),   55 / 300 W |   549 / 32768 MB | jgong:python/487803(546M)
[7] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   839 / 32768 MB | jgong:python/487803(836M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   745 / 32768 MB | jgong:python/487803(742M)
[2] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   745 / 32768 MB | jgong:python/487803(742M)
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |   757 / 32768 MB | jgong:python/487803(754M)
[4] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   757 / 32768 MB | jgong:python/487803(754M)
[5] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   757 / 32768 MB | jgong:python/487803(754M)
[6] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 300 W |   757 / 32768 MB | jgong:python/487803(754M)
[7] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |   757 / 32768 MB | jgong:python/487803(754M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   895 / 32768 MB | jgong:python/487803(892M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |   879 / 32768 MB | jgong:python/487803(876M)
[2] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   923 / 32768 MB | jgong:python/487803(920M)
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |  1011 / 32768 MB | jgong:python/487803(1008M)
[4] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  1045 / 32768 MB | jgong:python/487803(1052M)
[5] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  1149 / 32768 MB | jgong:python/487803(1148M)
[6] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   56 / 300 W |  1185 / 32768 MB | jgong:python/487803(1182M)
[7] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  1161 / 32768 MB | jgong:python/487803(1158M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   3 % (E:   0 %  D:   0 %),   59 / 300 W |  1561 / 32768 MB | jgong:python/487803(1556M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   3 % (E:   0 %  D:   0 %),   59 / 300 W |  1377 / 32768 MB | jgong:python/487803(1372M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  1145 / 32768 MB | jgong:python/487803(1140M)
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |  1149 / 32768 MB | jgong:python/487803(1144M)
[4] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  1221 / 32768 MB | jgong:python/487803(1216M)
[5] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  1237 / 32768 MB | jgong:python/487803(1232M)
[6] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   56 / 300 W |  1189 / 32768 MB | jgong:python/487803(1184M)
[7] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  1165 / 32768 MB | jgong:python/487803(1160M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2727 / 32768 MB | jgong:python/487803(2722M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2677 / 32768 MB | jgong:python/487803(2672M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   4 % (E:   0 %  D:   0 %),   59 / 300 W |  2581 / 32768 MB | jgong:python/487803(2576M)
[3] Tesla V100-SXM2-32GB | 35°C,  ?? %,   3 % (E:   0 %  D:   0 %),   57 / 300 W |  1435 / 32768 MB | jgong:python/487803(1430M)
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   4 % (E:   0 %  D:   0 %),   59 / 300 W |  1371 / 32768 MB | jgong:python/487803(1368M)
[5] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  1237 / 32768 MB | jgong:python/487803(1232M)
[6] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   55 / 300 W |  1189 / 32768 MB | jgong:python/487803(1184M)
[7] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  1165 / 32768 MB | jgong:python/487803(1160M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2727 / 32768 MB | jgong:python/487803(2722M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2677 / 32768 MB | jgong:python/487803(2672M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  2581 / 32768 MB | jgong:python/487803(2576M)
[3] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |  2585 / 32768 MB | jgong:python/487803(2580M)
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  2657 / 32768 MB | jgong:python/487803(2652M)
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   3 % (E:   0 %  D:   0 %),   59 / 300 W |  2673 / 32768 MB | jgong:python/487803(2668M)
[6] Tesla V100-SXM2-32GB | 36°C,  ?? %,   3 % (E:   0 %  D:   0 %),   56 / 300 W |  1529 / 32768 MB | jgong:python/487803(1524M)
[7] Tesla V100-SXM2-32GB | 36°C,  ?? %,   4 % (E:   0 %  D:   0 %),   58 / 300 W |  1361 / 32768 MB | jgong:python/487803(1356M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   8 % (E:   0 %  D:   0 %),   59 / 300 W |  3021 / 32768 MB | jgong:python/487803(3016M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2965 / 32768 MB | jgong:python/487803(2960M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  2869 / 32768 MB | jgong:python/487803(2864M)
[3] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |  2873 / 32768 MB | jgong:python/487803(2868M)
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2945 / 32768 MB | jgong:python/487803(2940M)
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2961 / 32768 MB | jgong:python/487803(2956M)
[6] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   56 / 300 W |  2913 / 32768 MB | jgong:python/487803(2908M)
[7] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |  2889 / 32768 MB | jgong:python/487803(2884M)
[0] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  3021 / 32768 MB | jgong:python/487803(3016M)
[1] Tesla V100-SXM2-32GB | 44°C,  ?? %,   0 % (E:   0 %  D:   0 %),   59 / 300 W |  2965 / 32768 MB | jgong:python/487803(2960M)
