Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:15:51 PM 508584364 506725796  18929708      3.59        24   8555264  18986540      3.54   2708308   9031192         0
11:15:53 PM 508574680 506720456  18939392      3.59        24   8555264  18922116      3.53   2708316   9030532         0
11:15:55 PM 508566396 506716192  18947676      3.59        24   8555260  18922048      3.53   2708300   9030224         0
11:15:57 PM 508558116 506712164  18955956      3.59        24   8555260  18922048      3.53   2708312   9030360         0
11:15:59 PM 508548780 506707216  18965292      3.60        24   8555260  18922048      3.53   2708312   9030424         0
11:16:01 PM 508540436 506702864  18973636      3.60        24   8555260  18921584      3.53   2708308   9030480         0
11:16:03 PM 508549456 506715580  18964616      3.60        24   8555260  18921504      3.53   2708304   9014856         0
11:16:05 PM 508547644 506713780  18966428      3.60        24   8555280  19622216      3.66   2708316   9014056         0
11:16:07 PM 507737384 505904384  19776688      3.75        24   8649552  60887012     11.36   2709076   9737144         0
11:16:09 PM 507052056 505221556  20462016      3.88        24   9080476  61443228     11.47   2709112  10403540         0
11:16:11 PM 506943644 505116668  20570428      3.90        24   9080476  93276140     17.41   2709136  10438176         0
11:16:13 PM 504522856 502699508  22991216      4.36        24  10133592 145124316     27.08   2713428  12714896         0
11:16:15 PM 504373320 502552444  23140752      4.39        24  10137752 145426200     27.14   2717528  12858284         0
11:16:17 PM 504230580 502410080  23283492      4.41        24  10138448 145496652     27.15   2718292  13000688         0
11:16:19 PM 504146108 502325632  23367964      4.43        24  10138500 145573016     27.16   2718332  13084276         0
11:16:21 PM 504231160 502410688  23282912      4.41        24  10138500 145616288     27.17   2718340  12999780         0
11:16:23 PM 504190116 502369820  23323956      4.42        24  10138848 145626268     27.17   2718672  13039312         0
11:16:25 PM 503898652 502092044  23615420      4.48        24  10167956 145727140     27.19   2745724  13302740         0
11:16:27 PM 503886496 502080024  23627576      4.48        24  10166120 145703616     27.19   2746008  13314828         0
11:16:29 PM 503762296 501955916  23751776      4.50        24  10166240 145884328     27.22   2746040  13438352         0
11:16:31 PM 503633800 501827424  23880272      4.53        24  10166120 145948720     27.23   2746008  13566956         0
11:16:33 PM 503500648 501694396  24013424      4.55        24  10166180 146077376     27.26   2746040  13699032         0
11:16:35 PM 503395736 501589540  24118336      4.57        24  10166180 146142784     27.27   2746016  13804400         0
11:16:37 PM 503255924 501449748  24258148      4.60        24  10166240 146278336     27.30   2746032  13943544         0
11:16:39 PM 503178016 501371920  24336056      4.61        24  10166300 146387976     27.32   2746072  14021756         0
11:16:41 PM 503121764 501315640  24392308      4.62        24  10185392 146581380     27.35   2746032  14077604         0
11:16:43 PM 503118748 501312672  24395324      4.62        24  10179284 146581380     27.35   2746032  14079896         0
11:16:45 PM 503122792 501316768  24391280      4.62        24  10166744 146645772     27.36   2746032  14076972         0
11:16:47 PM 503096196 501290192  24417876      4.63        24  10185332 146572204     27.35   2746024  14102196         0
11:16:49 PM 503087004 501281044  24427068      4.63        24  10166180 146492692     27.34   2746016  14111528         0
11:16:51 PM 503077556 501271640  24436516      4.63        24  10166300 146601340     27.36   2746548  14121220         0
11:16:53 PM 503065264 501259376  24448808      4.63        24  10171728 146576348     27.35   2746100  14133172         0
11:16:55 PM 503060696 501254848  24453376      4.64        24  10166184 146640744     27.36   2746136  14138104         0
11:16:57 PM 503034436 501228628  24479636      4.64        24  10166184 146640744     27.36   2746120  14164184         0
11:16:59 PM 503007884 501202028  24506188      4.65        24  10166244 146640392     27.36   2746152  14191308         0
11:17:01 PM 503001056 501195240  24513016      4.65        24  10166184 146564784     27.35   2746112  14199256         0
11:17:03 PM 502976380 501170612  24537692      4.65        24  10166244 146629176     27.36   2746136  14221644         0
11:17:05 PM 502969156 501163328  24544916      4.65        24  10166244 146629176     27.36   2746128  14229132         0
11:17:07 PM 502963900 501158092  24550172      4.65        24  10166184 146615528     27.36   2746112  14234772         0
11:17:09 PM 502942892 501137024  24571180      4.66        24  10181364 146518896     27.34   2746136  14255684         0
11:17:11 PM 502931896 501125932  24582176      4.66        24  10166752 146508824     27.34   2746624  14266128         0
11:17:13 PM 502908096 501102168  24605976      4.66        24  10166184 146508824     27.34   2746112  14290556         0
11:17:15 PM 502903556 501097572  24610516      4.67        24  10166184 146495772     27.34   2746120  14294804         0
11:17:17 PM 502878584 501072632  24635488      4.67        24  10185336 146552476     27.35   2746104  14319508         0
11:17:19 PM 502880156 501074180  24633916      4.67        24  10166184 146550564     27.35   2746104  14319268         0
11:17:21 PM 502865640 501059692  24648432      4.67        24  10166248 146472260     27.33   2746140  14332860         0
11:17:23 PM 502822252 501016356  24691820      4.68        24  10185396 146489216     27.34   2746132  14375944         0
