[1] Tesla P100-PCIE-16GB | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   1 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,   8 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,  16 % (E:   0 %  D:   0 %),   36 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,  10 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,  15 % (E:   0 %  D:   0 %),   32 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   31 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   31 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   8 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,  16 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   1 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   39 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   1 % (E:   0 %  D:   0 %),   31 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   1 % (E:   0 %  D:   0 %),   40 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,  15 % (E:   0 %  D:   0 %),   32 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 28°C,  ?? %,   3 % (E:   0 %  D:   0 %),   34 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   36 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   35 / 250 W |  2314 / 16384 MB | jgong:python/420896(2312M)
[1] Tesla P100-PCIE-16GB | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   37 / 250 W |  2280 / 16384 MB | jgong:python/420896(2278M)
