Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

08:14:33 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
08:14:35 AM 1040135680 1037031544  16144496      1.53        24   7404772  16275012      1.53   2836348   5206440         0
08:14:37 AM 1040072356 1036968236  16207820      1.53        24   7404664  16428188      1.54   2836224   5270652         0
08:14:39 AM 1039886364 1036782284  16393812      1.55        24   7404664  16577028      1.56   2836208   5380688         0
08:14:41 AM 1038794648 1035690568  17485528      1.66        24   7414904  17554148      1.65   2836248   6383712         0
08:14:43 AM 1037439732 1034335652  18840444      1.78        24   7420540  18919324      1.78   2836252   7731516         0
08:14:45 AM 1036400952 1033296872  19879224      1.88        24   7420540  20056564      1.88   2836252   8768556         0
08:14:47 AM 1036464940 1033361456  19815236      1.88        24   7420540  20056564      1.88   2836252   8703144         0
08:14:49 AM 1036463568 1033360876  19816608      1.88        24   7420540  20056564      1.88   2836256   8703296         0
08:14:51 AM 1036461784 1033359880  19818392      1.88        24   7420540  20130328      1.89   2836256   8703272         0
08:14:53 AM 1036460496 1033359444  19819680      1.88        24   7420540  20130328      1.89   2836256   8703176         0
08:14:55 AM 1036457040 1033356900  19823136      1.88        24   7420540  20175284      1.89   2836260   8703308         0
08:14:57 AM 1036456080 1033356972  19824096      1.88        24   7420540  20107668      1.89   2836256   8703172         0
08:14:59 AM 1036453140 1033355024  19827036      1.88        24   7420388  20181352      1.90   2836104   8703224         0
08:15:01 AM 1036451472 1033354276  19828704      1.88        24   7420364  20255052      1.90   2836072   8703336         0
08:15:03 AM 1036449692 1033353328  19830484      1.88        24   7420256  20107296      1.89   2835972   8703184         0
08:15:05 AM 1036449336 1033353612  19830840      1.88        24   7420256  20181200      1.90   2835972   8703200         0
08:15:07 AM 1036382668 1033286992  19897508      1.88        24   7420156  20181200      1.90   2835872   8703196         0
08:15:09 AM 1036383532 1033287820  19896644      1.88        24   7420156  20255104      1.90   2835872   8703252         0
08:15:11 AM 1036383112 1033287388  19897064      1.88        24   7420128  20181208      1.90   2835844   8703228         0
08:15:13 AM 1036383660 1033287936  19896516      1.88        24   7420128  20255112      1.90   2835844   8703268         0
08:15:15 AM 1036383172 1033287448  19897004      1.88        24   7420128  20181256      1.90   2835844   8703280         0
08:15:17 AM 1036383792 1033287996  19896384      1.88        24   7420084  20181256      1.90   2835800   8703272         0
08:15:19 AM 1036382748 1033286908  19897428      1.88        24   7419992  20255160      1.90   2835708   8703240         0
08:15:21 AM 1036383844 1033287972  19896332      1.88        24   7419992  20255160      1.90   2835708   8703268         0
08:15:23 AM 1036382620 1033286732  19897556      1.88        24   7419992  20329064      1.91   2835708   8703276         0
08:15:25 AM 1036382748 1033286860  19897428      1.88        24   7419992  20299724      1.91   2835708   8703696         0
08:15:27 AM 1036399280 1033303328  19880896      1.88        24   7419868  20344008      1.91   2835576   8685980         0
08:15:29 AM 1036043684 1032947732  20236492      1.92        24   7419872  81454232      7.65   2835592   8936324         0
08:15:31 AM 1035615356 1032519368  20664820      1.96        24   7419932  81889900      7.69   2835528   9362472         0
08:15:33 AM 1035071800 1031975812  21208376      2.01        24   7420036 166128804     15.60   2835544   9770640         0
08:15:35 AM 1033607920 1030511948  22672256      2.15        24   7420156 204590864     19.22   2835540  11163432         0
08:15:37 AM 1032269520 1029173848  24010656      2.27        24   7420744 205555400     19.31   2836128  12497564         0
08:15:39 AM 1030448176 1027352596  25832000      2.45        24   8007040 208255828     19.56   2836248  14312364         0
08:15:41 AM 1028157956 1025065056  28122220      2.66        24  11259756 210038816     19.73   2836496  16591268         0
08:15:43 AM 1027090956 1023999964  29189220      2.76        24  11713532 210933824     19.81   2837496  17630672         0
08:15:45 AM 1025302892 1022212172  30977284      2.93        24  12184816 212769244     19.98   2836496  19401188         0
08:15:47 AM 1023781692 1020692564  32498484      3.08        24  13912124 214219576     20.12   2836484  20895024         0
08:15:49 AM 1023087564 1020000308  33192612      3.14        24  15497096 214917900     20.19   2952440  21443892         0
08:15:51 AM 1022069792 1018984312  34210384      3.24        24  16624696 216346884     20.32   2836420  22514264         0
08:15:53 AM 1020937024 1017852664  35343152      3.35        24  17824056 217199964     20.40   2836252  23574260         0
08:15:55 AM 1021111148 1018026868  35169028      3.33        24  17654704 217163216     20.40   2836220  23399448         0
08:15:57 AM 1020891972 1017807692  35388204      3.35        24  17654704 216925236     20.37   2836324  23615880         0
08:15:59 AM 1020345980 1017261748  35934196      3.40        24  17654804 217869032     20.46   2836416  24162676         0
08:16:01 AM 1020730544 1017646312  35549632      3.37        24  17654804 217021696     20.38   2836456  23779132         0
08:16:03 AM 1020446808 1017362576  35833368      3.39        24  17734096 217161724     20.40   2836440  24061860         0
08:16:05 AM 1020513112 1017428848  35767064      3.39        24  17654804 217030520     20.38   2836448  23996592         0
08:16:07 AM 1020239208 1017154888  36040968      3.41        24  17769716 217317344     20.41   2836420  24270136         0
08:16:09 AM 1020163504 1017079272  36116672      3.42        24  17654804 217354052     20.42   2836420  24346232         0
08:16:11 AM 1019987248 1016903144  36292928      3.44        24  17654628 217459060     20.43   2836428  24520624         0
08:16:13 AM 1019871052 1016786868  36409124      3.45        24  17654808 217543916     20.43   2836436  24637200         0
08:16:15 AM 1019771756 1016687652  36508420      3.46        24  17654808 217571904     20.44   2836436  24736980         0
08:16:17 AM 1019460044 1016376004  36820132      3.49        24  17655136 217783696     20.46   2836440  25047028         0
08:16:19 AM 1019344388 1016260388  36935788      3.50        24  17654808 217830408     20.46   2836428  25161628         0
08:16:21 AM 1019053324 1015969412  37226852      3.52        24  17769748 218315180     20.51   2836436  25453536         0
08:16:23 AM 1019062120 1015978248  37218056      3.52        24  17666220 218585972     20.53   2847524  25432804         0
08:16:25 AM 1018945908 1015861956  37334268      3.53        24  17654808 218511736     20.52   2836412  25560768         0
08:16:27 AM 1018767912 1015683968  37512264      3.55        24  17654808 218549296     20.53   2836404  25736376         0
08:16:29 AM 1018563420 1015479380  37716756      3.57        24  17654808 218653332     20.54   2836412  25941884         0
08:16:31 AM 1018264272 1015180320  38015904      3.60        24  17769720 218962172     20.57   2836428  26239104         0
08:16:33 AM 1018279532 1015195572  38000644      3.60        24  17654808 219034108     20.57   2836412  26224228         0
08:16:35 AM 1018156268 1015072340  38123908      3.61        24  17654808 219034108     20.57   2836412  26346472         0
08:16:37 AM 1017778004 1014693972  38502172      3.65        24  17740488 219401396     20.61   2836416  26724488         0
08:16:39 AM 1017776032 1014692024  38504144      3.65        24  17654808 219238448     20.59   2836416  26727808         0
08:16:41 AM 1017604228 1014520156  38675948      3.66        24  17654808 219294436     20.60   2836424  26899600         0
08:16:43 AM 1017416196 1014332092  38863980      3.68        24  17654808 219603252     20.63   2836408  27086876         0
08:16:45 AM 1017362564 1014278476  38917612      3.68        24  17654808 219560496     20.62   2836432  27140984         0
08:16:47 AM 1017205544 1014121432  39074632      3.70        24  17654808 219792428     20.64   2836424  27297524         0
08:16:49 AM 1017022556 1013938420  39257620      3.72        24  17654808 219946516     20.66   2836440  27479716         0
