Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

08:14:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:14:35 AM     all      1.46      0.00      3.25      0.00      0.00     95.29
08:14:37 AM     all      0.91      0.00      0.36      0.00      0.00     98.73
08:14:39 AM     all      2.64      0.00      0.79      0.00      0.00     96.57
08:14:41 AM     all      6.64      0.00      0.73      0.00      0.00     92.63
08:14:43 AM     all      1.35      0.00      0.69      0.00      0.00     97.96
08:14:45 AM     all      1.54      0.00      0.46      0.00      0.00     98.00
08:14:47 AM     all      0.46      0.00      0.38      0.00      0.00     99.15
08:14:49 AM     all      0.34      0.00      0.46      0.00      0.00     99.20
08:14:51 AM     all      0.26      0.00      0.45      0.00      0.00     99.29
08:14:53 AM     all      0.30      0.00      0.47      0.00      0.00     99.22
08:14:55 AM     all      0.38      0.00      0.59      0.00      0.00     99.03
08:14:57 AM     all      0.34      0.00      0.54      0.00      0.00     99.12
08:14:59 AM     all      0.33      0.00      0.57      0.00      0.00     99.10
08:15:01 AM     all      0.34      0.00      0.55      0.00      0.00     99.11
08:15:03 AM     all      0.31      0.00      0.55      0.00      0.00     99.14
08:15:05 AM     all      0.38      0.00      0.69      0.00      0.00     98.93
08:15:07 AM     all      0.35      0.00      0.65      0.00      0.00     99.00
08:15:09 AM     all      0.46      0.00      0.81      0.00      0.00     98.72
08:15:11 AM     all      0.38      0.00      0.68      0.00      0.00     98.94
08:15:13 AM     all      0.38      0.00      0.67      0.00      0.00     98.95
08:15:15 AM     all      0.36      0.00      0.70      0.00      0.00     98.95
08:15:17 AM     all      0.36      0.00      0.59      0.00      0.00     99.05
08:15:19 AM     all      0.40      0.00      0.57      0.00      0.00     99.03
08:15:21 AM     all      0.30      0.00      0.57      0.00      0.00     99.12
08:15:23 AM     all      0.38      0.00      0.56      0.00      0.00     99.05
08:15:25 AM     all      0.46      0.00      0.58      0.00      0.00     98.95
08:15:27 AM     all      0.71      0.00      0.52      0.00      0.00     98.77
08:15:29 AM     all      9.20      0.00      3.97      0.00      0.00     86.83
08:15:31 AM     all     10.14      0.00     40.16      0.00      0.00     49.70
08:15:33 AM     all     10.09      0.00     39.07      0.00      0.00     50.84
08:15:35 AM     all     13.59      0.00     35.87      0.00      0.00     50.54
08:15:37 AM     all     15.19      0.00     34.34      0.00      0.00     50.47
08:15:39 AM     all     16.38      0.00     33.01      0.00      0.00     50.61
08:15:41 AM     all     16.49      0.00     32.49      0.00      0.00     51.02
08:15:43 AM     all     15.53      0.00     33.72      0.00      0.00     50.75
08:15:45 AM     all     15.77      0.00     33.14      0.00      0.00     51.09
08:15:47 AM     all     12.19      0.00     36.90      0.00      0.00     50.91
08:15:49 AM     all     10.32      0.00     37.76      0.00      0.00     51.92
08:15:51 AM     all      6.16      0.00     24.05      0.00      0.00     69.79
08:15:53 AM     all      1.42      0.00      1.55      0.00      0.00     97.03
08:15:55 AM     all      1.86      0.00      0.51      0.00      0.00     97.63
08:15:57 AM     all      3.75      0.00      9.39      0.00      0.00     86.87
08:15:59 AM     all      9.15      0.00     38.79      0.00      0.00     52.06
08:16:01 AM     all     10.05      0.00     38.25      0.00      0.00     51.70
08:16:03 AM     all     10.60      0.00     38.19      0.00      0.00     51.21
08:16:05 AM     all     10.96      0.00     37.90      0.00      0.00     51.14
08:16:07 AM     all     10.46      0.00     37.27      0.00      0.00     52.27
08:16:09 AM     all     10.63      0.00     37.60      0.00      0.00     51.77
08:16:11 AM     all     10.23      0.00     38.31      0.00      0.00     51.46
08:16:13 AM     all     10.81      0.00     37.45      0.00      0.00     51.73
08:16:15 AM     all     10.22      0.00     38.21      0.00      0.00     51.56
08:16:17 AM     all     10.54      0.00     36.55      0.00      0.00     52.91
08:16:19 AM     all     10.75      0.00     37.53      0.00      0.00     51.73
08:16:21 AM     all     10.61      0.00     37.74      0.00      0.00     51.65
08:16:23 AM     all     10.71      0.00     37.87      0.00      0.00     51.42
08:16:25 AM     all     10.42      0.00     38.33      0.00      0.00     51.25
08:16:27 AM     all     10.32      0.00     38.19      0.00      0.00     51.49
08:16:29 AM     all     10.21      0.00     37.98      0.00      0.00     51.81
08:16:31 AM     all     10.92      0.00     37.55      0.00      0.00     51.54
08:16:33 AM     all     10.74      0.00     38.44      0.00      0.00     50.82
08:16:35 AM     all     10.21      0.00     38.31      0.00      0.00     51.48
08:16:37 AM     all     10.41      0.00     38.05      0.00      0.00     51.54
08:16:39 AM     all     10.90      0.00     36.72      0.00      0.00     52.39
08:16:41 AM     all     10.60      0.00     38.53      0.00      0.00     50.87
08:16:43 AM     all     10.71      0.00     38.01      0.00      0.00     51.28
08:16:45 AM     all     10.62      0.00     36.87      0.00      0.00     52.52
08:16:47 AM     all     10.59      0.00     38.50      0.00      0.00     50.91
08:16:49 AM     all     10.57      0.00     38.04      0.00      0.00     51.39
08:16:51 AM     all     10.13      0.00     38.08      0.00      0.00     51.79
08:16:53 AM     all     10.45      0.00     38.28      0.00      0.00     51.27
08:16:55 AM     all     10.97      0.00     37.64      0.00      0.00     51.39
08:16:57 AM     all     10.68      0.00     38.09      0.00      0.00     51.23
08:16:59 AM     all     10.46      0.00     37.72      0.00      0.00     51.82
08:17:01 AM     all     10.31      0.00     38.03      0.00      0.00     51.66
08:17:03 AM     all     10.71      0.00     37.86      0.00      0.00     51.43
08:17:05 AM     all     10.98      0.00     37.55      0.00      0.00     51.47
08:17:07 AM     all     10.77      0.00     37.34      0.00      0.00     51.88
08:17:09 AM     all     10.30      0.00     38.35      0.00      0.00     51.34
08:17:11 AM     all     10.56      0.00     37.19      0.00      0.00     52.26
08:17:13 AM     all     10.73      0.00     36.88      0.00      0.00     52.38
08:17:15 AM     all     10.60      0.00     37.85      0.00      0.00     51.55
08:17:17 AM     all     10.31      0.00     38.10      0.00      0.00     51.59
08:17:19 AM     all     10.20      0.00     37.53      0.00      0.00     52.27
08:17:21 AM     all     10.21      0.00     38.58      0.00      0.00     51.21
08:17:23 AM     all     10.88      0.00     38.14      0.00      0.00     50.98
08:17:25 AM     all     11.02      0.00     37.56      0.00      0.00     51.41
08:17:27 AM     all     10.81      0.00     38.13      0.00      0.00     51.06
08:17:29 AM     all     10.43      0.00     37.82      0.00      0.00     51.75
08:17:31 AM     all     10.39      0.00     37.48      0.00      0.00     52.13
08:17:33 AM     all     10.49      0.00     37.80      0.00      0.00     51.71
08:17:35 AM     all     10.28      0.00     38.01      0.00      0.00     51.71
08:17:37 AM     all     10.87      0.00     37.76      0.00      0.00     51.36
08:17:39 AM     all     10.65      0.00     37.62      0.00      0.00     51.73
08:17:41 AM     all     10.22      0.00     38.52      0.00      0.00     51.26
08:17:43 AM     all     10.03      0.00     38.08      0.00      0.00     51.89
08:17:45 AM     all     10.36      0.00     38.86      0.00      0.00     50.78
08:17:47 AM     all     10.69      0.00     37.64      0.00      0.00     51.67
08:17:49 AM     all     10.96      0.00     37.29      0.00      0.00     51.75
08:17:51 AM     all     10.69      0.00     37.98      0.00      0.00     51.33
08:17:53 AM     all     10.33      0.00     38.16      0.00      0.00     51.52
08:17:55 AM     all     10.70      0.00     36.78      0.00      0.00     52.52
08:17:57 AM     all     10.63      0.00     37.71      0.00      0.00     51.66
08:17:59 AM     all     11.12      0.00     36.96      0.00      0.00     51.93
08:18:01 AM     all     10.43      0.00     37.20      0.00      0.00     52.37
08:18:03 AM     all     10.26      0.00     38.49      0.00      0.00     51.24
08:18:05 AM     all     10.16      0.00     37.21      0.00      0.00     52.64
08:18:07 AM     all     10.61      0.00     37.67      0.00      0.00     51.72
08:18:09 AM     all     10.78      0.00     37.79      0.00      0.00     51.43
08:18:11 AM     all     10.46      0.00     37.84      0.00      0.00     51.70
