[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |  1513 / 24576 MB | jgong:python/801768(1508M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |  1513 / 24576 MB | jgong:python/801768(1508M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |  1513 / 24576 MB | jgong:python/801768(1508M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |  1513 / 24576 MB | jgong:python/801768(1508M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,  34 % (E:   0 %  D:   0 %),   75 / 165 W |  3779 / 24576 MB | jgong:python/801768(3774M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  27 % (E:   0 %  D:   0 %),   47 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  53 % (E:   0 %  D:   0 %),   84 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  34 % (E:   0 %  D:   0 %),   80 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  24 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  21 % (E:   0 %  D:   0 %),   48 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  24 % (E:   0 %  D:   0 %),   51 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  30 % (E:   0 %  D:   0 %),   94 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  36 % (E:   0 %  D:   0 %),   69 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 31°C,  ?? %,  32 % (E:   0 %  D:   0 %),   57 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  35 % (E:   0 %  D:   0 %),   55 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  57 % (E:   0 %  D:   0 %),   96 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  44 % (E:   0 %  D:   0 %),   61 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  62 % (E:   0 %  D:   0 %),  103 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  27 % (E:   0 %  D:   0 %),   58 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  28 % (E:   0 %  D:   0 %),   49 / 165 W |  3977 / 24576 MB | jgong:python/801768(3972M)
