Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/09/2023 	_x86_64_	(56 CPU)

09:23:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:26:31 PM     all     11.17      0.00     38.49      0.00      0.00     50.34
09:26:33 PM     all     11.61      0.00     37.96      0.00      0.00     50.42
09:26:35 PM     all     11.42      0.00     38.05      0.00      0.00     50.54
09:26:37 PM     all     10.91      0.00     38.63      0.00      0.00     50.46
09:26:39 PM     all     10.76      0.00     38.97      0.00      0.00     50.27
09:26:41 PM     all     10.67      0.00     38.65      0.00      0.00     50.68
09:26:43 PM     all     11.10      0.00     38.21      0.00      0.00     50.69
09:26:45 PM     all     11.61      0.00     37.67      0.00      0.00     50.72
09:26:47 PM     all     11.22      0.00     38.45      0.00      0.00     50.33
09:26:49 PM     all     10.98      0.00     38.50      0.00      0.00     50.51
09:26:51 PM     all     11.27      0.00     38.78      0.00      0.00     49.94
09:26:53 PM     all     10.90      0.00     38.59      0.00      0.00     50.51
09:26:55 PM     all     11.11      0.00     38.32      0.00      0.00     50.57
09:26:57 PM     all     11.02      0.00     38.36      0.00      0.00     50.62
09:26:59 PM     all     11.54      0.00     37.63      0.00      0.00     50.83
09:27:01 PM     all     11.01      0.00     38.41      0.00      0.00     50.59
09:27:03 PM     all     10.79      0.00     38.36      0.00      0.00     50.85
09:27:05 PM     all     10.77      0.00     38.53      0.00      0.00     50.70
09:27:07 PM     all     10.87      0.00     38.99      0.00      0.00     50.14
09:27:09 PM     all     10.91      0.00     38.46      0.00      0.00     50.63
09:27:11 PM     all     11.08      0.00     38.62      0.00      0.00     50.29
09:27:13 PM     all     11.08      0.00     38.27      0.00      0.00     50.64

Average:        all      8.04      0.00     26.71      0.00      0.00     65.25
