Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:55 AM     all     10.30      0.00      1.45      0.00      0.00     88.24
11:58:57 AM     all     10.07      0.00      1.39      0.00      0.00     88.54
11:58:59 AM     all     10.35      0.00      1.72      0.00      0.00     87.93
11:59:01 AM     all     10.72      0.00      1.75      0.00      0.00     87.53
11:59:03 AM     all     10.25      0.00      1.35      0.00      0.00     88.40
11:59:05 AM     all     10.17      0.00      1.55      0.00      0.00     88.28
11:59:07 AM     all     10.12      0.00      1.38      0.00      0.00     88.50
11:59:09 AM     all     11.04      0.00      1.78      0.00      0.00     87.18
11:59:11 AM     all      9.89      0.00      1.25      0.00      0.00     88.86
11:59:13 AM     all     10.33      0.00      1.58      0.00      0.00     88.09
11:59:15 AM     all     10.19      0.00      1.44      0.00      0.00     88.37
11:59:17 AM     all     10.00      0.00      1.36      0.00      0.00     88.64
11:59:19 AM     all     10.45      0.00      1.75      0.00      0.00     87.80
11:59:21 AM     all     10.58      0.00      1.41      0.00      0.00     88.01
11:59:23 AM     all     10.28      0.00      1.50      0.00      0.00     88.22
11:59:25 AM     all     10.11      0.00      1.46      0.00      0.00     88.43
11:59:27 AM     all     10.34      0.00      1.55      0.00      0.00     88.11
11:59:29 AM     all     10.45      0.00      1.63      0.00      0.00     87.92
11:59:31 AM     all      9.89      0.00      1.19      0.00      0.00     88.92
11:59:33 AM     all     10.91      0.00      1.59      0.00      0.00     87.49
11:59:35 AM     all     10.41      0.00      1.68      0.00      0.00     87.91
11:59:37 AM     all     10.01      0.00      1.20      0.00      0.00     88.78
11:59:39 AM     all     10.47      0.00      1.72      0.00      0.00     87.81
11:59:41 AM     all     10.66      0.00      1.46      0.00      0.00     87.88
11:59:43 AM     all     10.24      0.00      1.80      0.00      0.00     87.96
11:59:45 AM     all     10.07      0.00      1.35      0.00      0.00     88.58
11:59:47 AM     all     10.15      0.00      1.41      0.00      0.00     88.44
11:59:49 AM     all     10.49      0.00      1.63      0.00      0.00     87.89
11:59:51 AM     all      9.85      0.00      1.33      0.00      0.00     88.82
11:59:53 AM     all     10.82      0.00      1.47      0.00      0.00     87.71
11:59:55 AM     all     10.22      0.00      1.83      0.00      0.00     87.95
11:59:57 AM     all     10.27      0.00      1.55      0.00      0.00     88.19
11:59:59 AM     all     10.95      0.00      1.57      0.00      0.00     87.48
12:00:01 PM     all     10.16      0.00      1.46      0.00      0.00     88.39
12:00:03 PM     all     10.21      0.00      1.50      0.00      0.00     88.29
12:00:05 PM     all     10.01      0.00      1.47      0.00      0.00     88.52
12:00:07 PM     all     10.76      0.00      1.66      0.00      0.00     87.59
12:00:09 PM     all     10.27      0.00      1.60      0.00      0.00     88.13
12:00:11 PM     all      9.95      0.00      1.59      0.00      0.00     88.46
12:00:13 PM     all     10.36      0.00      1.58      0.00      0.00     88.07
12:00:15 PM     all     10.24      0.00      1.54      0.00      0.00     88.22
12:00:17 PM     all     10.52      0.00      1.38      0.00      0.00     88.10
12:00:19 PM     all     10.29      0.00      1.69      0.00      0.00     88.02
12:00:21 PM     all     10.17      0.00      1.55      0.00      0.00     88.27
