Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:58:03 AM 494723948 495823128  32790124      6.22        24  14263904  71581532     13.36   3559640  21097140         0
11:58:05 AM 494755128 495854356  32758944      6.21        24  14226268  71595500     13.36   3559632  21065672         0
11:58:07 AM 494712756 495811896  32801316      6.22        24  14263740  71750540     13.39   3559656  21108452         0
11:58:09 AM 494745048 495844160  32769024      6.21        24  14226100  71540532     13.35   3559616  21076032         0
11:58:11 AM 494738784 495837832  32775288      6.21        24  14226096  71639108     13.37   3559632  21082240         0
11:58:13 AM 494693076 495792220  32820996      6.22        24  14263908  71686156     13.38   3559648  21128380         0
11:58:15 AM 494724488 495823640  32789584      6.22        24  14226272  71722760     13.38   3559636  21096144         0
11:58:17 AM 494682416 495781560  32831656      6.22        24  14263740  71641612     13.37   3559632  21139396         0
11:58:19 AM 494713856 495813104  32800216      6.22        24  14226444  71636944     13.37   3559640  21107048         0
11:58:21 AM 494707044 495806180  32807028      6.22        24  14226440  71537952     13.35   3559644  21114132         0
11:58:23 AM 494668500 495767660  32845572      6.23        24  14255836  71694808     13.38   3559672  21151916         0
11:58:25 AM 494695784 495794768  32818288      6.22        24  14226100  71656392     13.37   3559616  21125056         0
11:58:27 AM 494651484 495750484  32862588      6.23        24  14263748  71527008     13.35   3559644  21169412         0
11:58:29 AM 494684348 495783412  32829724      6.22        24  14226276  71524148     13.35   3559612  21136224         0
11:58:31 AM 494677488 495776480  32836584      6.22        24  14226448  71652296     13.37   3559640  21144032         0
11:58:33 AM 494639700 495738796  32874372      6.23        24  14258536  71732760     13.39   3559648  21181504         0
11:58:35 AM 494665716 495764860  32848356      6.23        24  14226276  71707848     13.38   3559648  21155504         0
11:58:37 AM 494624460 495723556  32889612      6.23        24  14263408  71662640     13.37   3559640  21197028         0
11:58:39 AM 494654344 495753344  32859728      6.23        24  14226280  71496940     13.34   3559640  21167276         0
11:58:41 AM 494649768 495748824  32864304      6.23        24  14226452  71657652     13.37   3559640  21171992         0
11:58:43 AM 494616148 495715148  32897924      6.24        24  14251984  71677816     13.38   3559648  21204952         0
11:58:45 AM 494638304 495737408  32875768      6.23        24  14226108  71474788     13.34   3559620  21183572         0
11:58:47 AM 494594704 495693792  32919368      6.24        24  14263744  71599556     13.36   3559648  21226524         0
11:58:49 AM 494625840 495724984  32888232      6.23        24  14226104  71639676     13.37   3559624  21194632         0
11:58:51 AM 494620268 495719384  32893804      6.24        24  14226444  71587760     13.36   3559640  21200512         0
11:58:53 AM 494577904 495677036  32936168      6.24        24  14263568  71800156     13.40   3559640  21243160         0
11:58:55 AM 494608364 495707424  32905708      6.24        24  14226276  71760788     13.39   3559656  21212724         0
11:58:57 AM 494566448 495665556  32947624      6.25        24  14263740  71724008     13.38   3559632  21254848         0
11:58:59 AM 494596292 495695352  32917780      6.24        24  14226448  71625960     13.37   3559644  21224100         0
11:59:01 AM 494592208 495691236  32921864      6.24        24  14226276  71867872     13.41   3559624  21228668         0
11:59:03 AM 494545936 495644972  32968136      6.25        24  14263572  71693472     13.38   3559664  21274616         0
11:59:05 AM 494580664 495679588  32933408      6.24        24  14226104  71573012     13.36   3559624  21241216         0
11:59:07 AM 494535916 495634912  32978156      6.25        24  14263740  71750784     13.39   3559640  21285776         0
11:59:09 AM 494569504 495668476  32944568      6.25        24  14226096  71707068     13.38   3559608  21252272         0
11:59:11 AM 494561636 495660536  32952436      6.25        24  14226448  71527600     13.35   3559656  21259744         0
11:59:13 AM 494519656 495618700  32994416      6.25        24  14263740  71742112     13.39   3559648  21302008         0
11:59:15 AM 494549884 495648968  32964188      6.25        24  14226272  71580104     13.36   3559632  21270872         0
