[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1511 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1513 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1513 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1515 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1519 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1523 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1523 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 29°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |  1523 / 24576 MB | jgong:python/509402(1508M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 30°C,  ?? %,  24 % (E:   0 %  D:   0 %),   48 / 165 W | 11035 / 24576 MB | jgong:python/509402(11020M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,  39 % (E:   0 %  D:   0 %),   53 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  55 % (E:   0 %  D:   0 %),   83 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  63 % (E:   0 %  D:   0 %),   54 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,   0 % (E:   0 %  D:   0 %),   49 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  36 % (E:   0 %  D:   0 %),   91 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  53 % (E:   0 %  D:   0 %),   62 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,   0 % (E:   0 %  D:   0 %),   49 / 165 W | 11077 / 24576 MB | jgong:python/509402(11062M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 32°C,  ?? %,   0 % (E:   0 %  D:   0 %),   50 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,  66 % (E:   0 %  D:   0 %),   51 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,   0 % (E:   0 %  D:   0 %),   50 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,   0 % (E:   0 %  D:   0 %),   50 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 33°C,  ?? %,  40 % (E:   0 %  D:   0 %),   83 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 36°C,  ?? %,  38 % (E:   0 %  D:   0 %),  167 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),  132 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 36°C,  ?? %,  43 % (E:   0 %  D:   0 %),  174 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
[1] NVIDIA A30 | 28°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |     3 / 24576 MB |
[0] NVIDIA A30 | 34°C,  ?? %,   2 % (E:   0 %  D:   0 %),   51 / 165 W | 11635 / 24576 MB | jgong:python/509402(11620M)
