Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:58 AM     all     10.36      0.00     37.87      0.00      0.00     51.77
05:22:00 AM     all     10.46      0.00     38.34      0.00      0.00     51.21
05:22:02 AM     all     10.34      0.00     38.92      0.00      0.00     50.74
05:22:04 AM     all     10.56      0.00     37.86      0.00      0.00     51.58
05:22:06 AM     all     10.55      0.00     37.64      0.00      0.00     51.81
05:22:08 AM     all     10.09      0.00     38.62      0.00      0.00     51.29
05:22:10 AM     all     10.33      0.00     38.44      0.00      0.00     51.23
05:22:12 AM     all     10.44      0.00     38.06      0.00      0.00     51.51
05:22:14 AM     all     10.17      0.00     38.42      0.00      0.00     51.40
05:22:16 AM     all     10.71      0.00     38.15      0.00      0.00     51.14
05:22:18 AM     all     10.20      0.00     37.43      0.00      0.00     52.37
05:22:20 AM     all     10.43      0.00     37.76      0.00      0.00     51.81
05:22:22 AM     all     10.36      0.00     38.46      0.00      0.00     51.18
05:22:24 AM     all     10.59      0.00     37.61      0.00      0.00     51.80
05:22:26 AM     all     10.43      0.00     37.55      0.00      0.00     52.02
05:22:28 AM     all     10.42      0.00     37.85      0.00      0.00     51.72
05:22:30 AM     all     10.96      0.00     36.48      0.00      0.00     52.56
05:22:32 AM     all     10.26      0.00     37.96      0.00      0.00     51.78
05:22:34 AM     all     10.18      0.00     38.07      0.00      0.00     51.75
05:22:36 AM     all     10.47      0.00     37.17      0.00      0.00     52.36
05:22:38 AM     all     10.96      0.00     36.84      0.00      0.00     52.21
05:22:40 AM     all     10.16      0.00     37.96      0.00      0.00     51.88
05:22:42 AM     all     10.61      0.00     37.72      0.00      0.00     51.67
05:22:44 AM     all     10.86      0.00     36.23      0.00      0.00     52.92
05:22:46 AM     all     10.39      0.00     38.28      0.00      0.00     51.34
05:22:48 AM     all     10.03      0.00     38.37      0.00      0.00     51.59
05:22:50 AM     all     10.71      0.00     37.87      0.00      0.00     51.42
05:22:52 AM     all     10.73      0.00     37.90      0.00      0.00     51.36
