Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
05:21:02 AM 1036487036 1033418968  19793140      1.87        24   7604432  20646980      1.94   3019160   8688972         0
05:21:04 AM 1036474244 1033412376  19805932      1.88        24   7604432  20646980      1.94   3019160   8689016         0
05:21:06 AM 1036461016 1033405648  19819160      1.88        24   7604432  20720884      1.95   3019160   8688996         0
05:21:08 AM 1036448092 1033398948  19832084      1.88        24   7604432  20573100      1.93   3019160   8689012         0
05:21:10 AM 1036434964 1033392224  19845212      1.88        24   7604432  20647004      1.94   3019160   8688940         0
05:21:12 AM 1036421636 1033385336  19858540      1.88        24   7604432  20720908      1.95   3019160   8688992         0
05:21:14 AM 1036408680 1033378632  19871496      1.88        24   7604432  20573328      1.93   3019160   8689044         0
05:21:16 AM 1036395344 1033371584  19884832      1.88        24   7604436  20557808      1.93   3019172   8689012         0
05:21:18 AM 1036382076 1033364696  19898100      1.88        24   7604436  20557808      1.93   3019172   8688992         0
05:21:20 AM 1036395648 1033379792  19884528      1.88        24   7604456  20483916      1.92   3019188   8672492         0
05:21:22 AM 1035713108 1032698372  20567068      1.95        24   7605280  81833352      7.69   3019876   9244160         0
05:21:24 AM 1035241736 1032229296  21038440      1.99        24   7605280  81833352      7.69   3019904   9643144         0
05:21:26 AM 1034587368 1031575072  21692808      2.05        24   7682332 144881064     13.61   3020012  10188560         0
05:21:28 AM 1032911580 1029900296  23368596      2.21        24   8554800 206042496     19.35   3173816  11599640         0
05:21:30 AM 1031605392 1028595912  24674784      2.34        24   8810544 206434864     19.39   3176416  12891944         0
05:21:32 AM 1030102292 1027096052  26177884      2.48        24   9384812 208533444     19.59   3181696  14379624         0
05:21:34 AM 1028411312 1025407484  27868864      2.64        24  11263632 209408748     19.67   3182556  16041820         0
05:21:36 AM 1025786816 1022786736  30493360      2.89        24  14164756 212534380     19.96   3183232  18615188         0
05:21:38 AM 1025111532 1022112148  31168644      2.95        24  14722532 213256500     20.03   3183104  19229120         0
05:21:40 AM 1025046560 1022047232  31233616      2.96        24  14715420 213163520     20.02   3183048  19288640         0
05:21:42 AM 1025062096 1022062948  31218080      2.96        24  14715780 213070988     20.01   3183408  19272740         0
05:21:44 AM 1024516220 1021534800  31763956      3.01        24  14751104 213451504     20.05   3218740  19782516         0
05:21:46 AM 1024686148 1021704916  31594028      2.99        24  14751544 213156472     20.02   3218976  19612736         0
05:21:48 AM 1024613516 1021632408  31666660      3.00        24  14751568 213156472     20.02   3219180  19684820         0
05:21:50 AM 1024484084 1021503056  31796092      3.01        24  14751568 213196852     20.02   3219204  19814244         0
05:21:52 AM 1024261168 1021280204  32019008      3.03        24  14751568 213286948     20.03   3219204  20036456         0
05:21:54 AM 1024129448 1021148636  32150728      3.04        24  14751568 213432064     20.05   3219196  20166780         0
05:21:56 AM 1023878392 1020897580  32401784      3.07        24  14814568 213559628     20.06   3219196  20417428         0
05:21:58 AM 1023839164 1020858448  32441012      3.07        24  14751568 213701228     20.07   3219196  20456500         0
05:22:00 AM 1023508628 1020527824  32771548      3.10        24  14823136 214102040     20.11   3219196  20786448         0
05:22:02 AM 1023539040 1020558284  32741136      3.10        24  14751568 213967320     20.10   3219196  20756644         0
05:22:04 AM 1023398956 1020418216  32881220      3.11        24  14751568 213984228     20.10   3219204  20895860         0
05:22:06 AM 1023210252 1020229432  33069924      3.13        24  14751568 214095160     20.11   3219196  21083968         0
05:22:08 AM 1023053304 1020072492  33226872      3.15        24  14751472 214232268     20.12   3219196  21240760         0
05:22:10 AM 1022849888 1019869084  33430288      3.16        24  14828156 214470392     20.14   3248432  21413716         0
05:22:12 AM 1022554468 1019573752  33725708      3.19        24  14802476 214673252     20.16   3219208  21738080         0
05:22:14 AM 1022411820 1019431088  33868356      3.21        24  14864972 214913896     20.19   3285736  21813356         0
05:22:16 AM 1022489768 1019509132  33790408      3.20        24  14751752 214529736     20.15   3219364  21800672         0
05:22:18 AM 1022335960 1019355316  33944216      3.21        24  14751572 214676340     20.16   3219196  21955000         0
05:22:20 AM 1022151048 1019170500  34129128      3.23        24  14751572 215152728     20.21   3219180  22139108         0
05:22:22 AM 1021898332 1018917892  34381844      3.25        24  14781312 215429332     20.23   3219196  22391552         0
05:22:24 AM 1021863540 1018883148  34416636      3.26        24  14751576 215567096     20.25   3219196  22425540         0
05:22:26 AM 1021729636 1018749196  34550540      3.27        24  14751576 215709976     20.26   3219200  22560660         0
05:22:28 AM 1021417492 1018437068  34862684      3.30        24  14830188 216074656     20.30   3219216  22871272         0
05:22:30 AM 1021587908 1018607444  34692268      3.28        24  14751576 215796748     20.27   3219192  22701676         0
05:22:32 AM 1021576536 1018596096  34703640      3.29        24  14751572 216021660     20.29   3219208  22712320         0
