Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

04:08:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:51 PM     all      1.39      0.00      0.33      0.00      0.00     98.28
04:11:53 PM     all      1.57      0.00      0.25      0.00      0.00     98.18
04:11:55 PM     all      1.63      0.00      0.21      0.00      0.00     98.17
04:11:57 PM     all      1.29      0.00      0.18      0.00      0.00     98.54
04:11:59 PM     all      1.56      0.00      0.26      0.00      0.00     98.18
04:12:01 PM     all      1.49      0.00      0.36      0.00      0.00     98.14
04:12:03 PM     all      1.68      0.00      0.44      0.00      0.00     97.89
04:12:05 PM     all      1.29      0.00      0.16      0.00      0.00     98.55
04:12:07 PM     all      1.54      0.00      0.27      0.00      0.00     98.19
04:12:09 PM     all      1.33      0.00      0.14      0.00      0.00     98.54
04:12:11 PM     all      1.69      0.00      0.43      0.00      0.00     97.88
04:12:13 PM     all      1.28      0.00      0.15      0.00      0.00     98.57
04:12:15 PM     all      1.86      0.00      0.24      0.00      0.00     97.90
04:12:17 PM     all      1.75      0.00      0.31      0.00      0.00     97.94
04:12:19 PM     all      1.66      0.00      0.38      0.00      0.00     97.96
04:12:21 PM     all      1.58      0.00      0.49      0.00      0.00     97.92
04:12:23 PM     all      1.45      0.00      0.39      0.00      0.00     98.16
04:12:25 PM     all      1.54      0.00      0.46      0.00      0.00     97.99
04:12:27 PM     all      1.44      0.00      0.46      0.00      0.00     98.09
04:12:29 PM     all     15.65      0.00      3.05      0.00      0.00     81.31
04:12:31 PM     all     24.17      0.00      0.71      0.00      0.00     75.12
04:12:33 PM     all     16.36      0.00      0.55      0.00      0.00     83.09
04:12:35 PM     all      1.31      0.00      0.11      0.00      0.00     98.59
04:12:37 PM     all      1.29      0.00      0.23      0.00      0.00     98.48
04:12:39 PM     all      1.61      0.00      0.19      0.00      0.00     98.19
04:12:41 PM     all      1.38      0.00      0.37      0.00      0.00     98.25
04:12:43 PM     all      1.56      0.00      0.24      0.00      0.00     98.19
