Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/08/2023 	_x86_64_	(56 CPU)

02:37:14 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:39:20 PM 242202320 242460736  21557784      8.17        24   8454436  19343892      7.11   3911716   9570428         0
02:39:22 PM 242218340 242476756  21541764      8.17        24   8454436  19192776      7.05   3911712   9553632         0
02:39:24 PM 242132412 242390844  21627692      8.20        24   8454436  19278536      7.08   3911728   9639436         0
02:39:26 PM 242046352 242304784  21713752      8.23        24   8454436  19364308      7.12   3911728   9725320         0
02:39:28 PM 241711320 241969752  22048784      8.36        24   8454436  19854048      7.30   3911720  10060004         0
02:39:30 PM 240021324 240279756  23738780      9.00        24   8454436  27060652      9.94   3911736  11735424         0
02:39:32 PM 241498964 241757428  22261140      8.44        24   8454436  19911112      7.32   3911728  10272016         0
02:39:34 PM 242846372 243104852  20913732      7.93        24   8454436  18546324      6.81   3911756   8926668         0
02:39:36 PM 242861056 243120464  20899048      7.92        24   8455332  18550532      6.82   3912632   8911252         0
02:39:38 PM 242867680 243128600  20892424      7.92        24   8456844  18548060      6.82   3914136   8903108         0
02:39:40 PM 242830104 243091420  20930000      7.94        24   8457224  18590836      6.83   3914492   8940092         0
02:39:42 PM 242868884 243130492  20891220      7.92        24   8457500  18523760      6.81   3914792   8901104         0
02:39:44 PM 242883856 243145984  20876248      7.91        24   8458004  18560724      6.82   3915296   8885552         0
02:39:46 PM 242883724 243146304  20876380      7.91        24   8458456  18560724      6.82   3915756   8885364         0
02:39:48 PM 242832484 243095956  20927620      7.93        24   8459344  18574384      6.83   3916636   8935692         0
02:39:50 PM 242833264 243097700  20926840      7.93        24   8460308  18590812      6.83   3917572   8933932         0
02:39:52 PM 242826244 243091624  20933860      7.94        24   8461252  18593536      6.83   3918536   8940720         0
02:39:54 PM 242820700 243086860  20939404      7.94        24   8462000  18575060      6.83   3919252   8944632         0
02:39:56 PM 242592496 242858692  21167608      8.03        24   8462000  18913940      6.95   3919288   9170572         0
02:39:58 PM 242497864 242764092  21262240      8.06        24   8462000  18944436      6.96   3919288   9266420         0
02:40:00 PM 242393980 242660208  21366124      8.10        24   8462000  19047324      7.00   3919324   9370140         0
02:40:02 PM 242376668 242642896  21383436      8.11        24   8462000  19063936      7.00   3919300   9389816         0
02:40:04 PM 242276728 242542956  21483376      8.15        24   8462000  19149696      7.04   3919292   9488460         0
02:40:06 PM 242172740 242438968  21587364      8.18        24   8462000  19231260      7.07   3919304   9591032         0
02:40:08 PM 242096808 242363052  21663296      8.21        24   8462000  19290340      7.09   3919292   9667856         0
02:40:10 PM 241774792 242041052  21985312      8.34        24   8462000  19789032      7.27   3919292   9988760         0
02:40:12 PM 241566180 241832440  22193924      8.41        24   8462000  19838484      7.29   3919292  10197276         0
02:40:14 PM 241565576 241831852  22194528      8.41        24   8462000  19856992      7.30   3919292  10197572         0
02:40:16 PM 242813888 243081748  20946216      7.94        24   8463612  18572692      6.82   3920808   8950388         0
02:40:18 PM 242837172 243105676  20922932      7.93        24   8464204  18551556      6.82   3921496   8926212         0
02:40:20 PM 242837272 243106072  20922832      7.93        24   8464500  18588508      6.83   3921800   8926048         0
02:40:22 PM 242816152 243085848  20943952      7.94        24   8465452  18554044      6.82   3922708   8945116         0
02:40:24 PM 242839572 243111016  20920532      7.93        24   8467176  18547684      6.82   3924456   8919884         0
02:40:26 PM 242848800 243120804  20911304      7.93        24   8467816  18529196      6.81   3925108   8909420         0
02:40:28 PM 242848580 243121244  20911524      7.93        24   8468528  18510720      6.80   3925720   8909468         0
02:40:30 PM 242847712 243120636  20912392      7.93        24   8468736  18529196      6.81   3926036   8909304         0
02:40:32 PM 242807992 243081368  20952112      7.94        24   8469192  18535056      6.81   3926448   8948592         0
02:40:34 PM 242807092 243081664  20953012      7.94        24   8470400  18516580      6.80   3927664   8948524         0
02:40:36 PM 242761180 243035960  20998924      7.96        24   8470596  18574148      6.83   3927884   8996340         0
02:40:38 PM 242626032 242900812  21134072      8.01        24   8470596  18723452      6.88   3927884   9129552         0
02:40:40 PM 242506636 242781416  21253468      8.06        24   8470596  18861992      6.93   3927884   9249168         0
02:40:42 PM 242402764 242677544  21357340      8.10        24   8470596  18983380      6.98   3927892   9352632         0
02:40:44 PM 242084584 242359368  21675520      8.22        24   8470596  19286912      7.09   3927884   9668152         0
02:40:46 PM 242213828 242488548  21546276      8.17        24   8470596  19153564      7.04   3927876   9540860         0
02:40:48 PM 242127404 242402128  21632700      8.20        24   8470596  19220848      7.06   3927900   9627204         0
02:40:50 PM 242041732 242316456  21718372      8.23        24   8470596  19325072      7.10   3927876   9712624         0
02:40:52 PM 240976908 241251632  22783196      8.64        24   8470596  26520064      9.74   3927884  10778312         0
02:40:54 PM 241545964 241820692  22214140      8.42        24   8470596  19761664      7.26   3927884  10207540         0
02:40:56 PM 242816284 243091312  20943820      7.94        24   8470928  18549868      6.82   3928172   8940536         0
02:40:58 PM 242826216 243103048  20933888      7.94        24   8472700  18502524      6.80   3929936   8927492         0
02:41:00 PM 242828936 243106156  20931168      7.94        24   8473088  18502108      6.80   3930356   8925476         0
02:41:02 PM 242825712 243103892  20934392      7.94        24   8474044  18539060      6.81   3931292   8926852         0
02:41:04 PM 242827496 243106424  20932608      7.94        24   8474792  18576012      6.83   3932088   8923944         0
02:41:06 PM 242810628 243090316  20949476      7.94        24   8475600  18561336      6.82   3932796   8940228         0
02:41:08 PM 242827948 243108836  20932156      7.94        24   8476752  18576000      6.83   3933996   8921708         0
02:41:10 PM 242808436 243090620  20951668      7.94        24   8478056  18597388      6.83   3935312   8940436         0
02:41:12 PM 242802944 243086940  20957160      7.95        24   8479856  18597400      6.83   3937116   8944448         0
02:41:14 PM 242825588 243111136  20934516      7.94        24   8481444  18555512      6.82   3938684   8920120         0
02:41:16 PM 242831108 243117232  20928996      7.93        24   8481984  18533032      6.81   3939276   8915044         0
02:41:18 PM 242681108 242967236  21078996      7.99        24   8481984  18672444      6.86   3939284   9064116         0
02:41:20 PM 242418524 242704668  21341580      8.09        24   8481984  18966636      6.97   3939300   9325012         0
02:41:22 PM 242427480 242713624  21332624      8.09        24   8481984  18971340      6.97   3939276   9316676         0
02:41:24 PM 242324008 242610160  21436096      8.13        24   8481984  19050116      7.00   3939276   9418872         0
02:41:26 PM 242237128 242523280  21522976      8.16        24   8481984  19135876      7.03   3939296   9505240         0
02:41:28 PM 242149016 242435168  21611088      8.19        24   8481984  19562656      7.19   3939276   9593944         0
02:41:30 PM 242083600 242369752  21676504      8.22        24   8481984  19311348      7.10   3939276   9660312         0
02:41:32 PM 242038556 242324724  21721548      8.24        24   8481984  19375992      7.12   3939284   9707608         0
02:41:34 PM 241545500 241831668  22214604      8.42        24   8481984  19846248      7.29   3939276  10197536         0
02:41:36 PM 242815832 243102000  20944272      7.94        24   8481984  18578904      6.83   3939276   8930476         0
02:41:38 PM 242796036 243083208  20964068      7.95        24   8483004  18597388      6.83   3940260   8948536         0
02:41:40 PM 242795956 243084568  20964148      7.95        24   8484412  18615872      6.84   3941664   8948440         0
02:41:42 PM 242794256 243084188  20965848      7.95        24   8485748  18634348      6.85   3942996   8948604         0
02:41:44 PM 242792980 243084532  20967124      7.95        24   8487396  18634348      6.85   3944628   8948520         0
02:41:46 PM 242790800 243084212  20969304      7.95        24   8489224  18560020      6.82   3946484   8948612         0
02:41:48 PM 242790848 243084500  20969256      7.95        24   8489492  18597008      6.83   3946708   8948432         0
02:41:50 PM 242789240 243084452  20970864      7.95        24   8491036  18578532      6.83   3948284   8948496         0
02:41:52 PM 242788080 243083936  20972024      7.95        24   8491664  18596996      6.83   3948928   8948492         0
02:41:54 PM 242785360 243082836  20974744      7.95        24   8493336  18531488      6.81   3950564   8948324         0
02:41:56 PM 242784624 243083076  20975480      7.95        24   8494256  18549964      6.82   3951520   8948272         0
02:41:58 PM 242651712 242950180  21108392      8.00        24   8494256  18702020      6.87   3951552   9081848         0
02:42:00 PM 242627368 242925852  21132736      8.01        24   8494256  18728096      6.88   3951552   9107380         0
02:42:02 PM 242459552 242758036  21300552      8.08        24   8494256  18893012      6.94   3951552   9273244         0
02:42:04 PM 242400860 242699344  21359244      8.10        24   8494256  18932240      6.96   3951552   9333676         0
02:42:06 PM 242221352 242519836  21538752      8.17        24   8494256  19386500      7.12   3951552   9511236         0
02:42:08 PM 242021800 242320300  21738304      8.24        24   8494256  19497604      7.16   3951548   9708436         0
02:42:10 PM 241801024 242099556  21959080      8.33        24   8494256  19584332      7.20   3951548   9932004         0
02:42:12 PM 242020832 242319364  21739272      8.24        24   8494256  19371436      7.12   3951540   9710736         0
02:42:14 PM 239051528 239350092  24708576      9.37        24   8494256  26984804      9.92   3951536  12666112         0
02:42:16 PM 241533860 241832440  22226244      8.43        24   8494256  19835324      7.29   3951548  10197584         0
02:42:18 PM 242785612 243085028  20974492      7.95        24   8495092  18568112      6.82   3952380   8946584         0
02:42:20 PM 242830332 243130196  20929772      7.94        24   8495540  18560240      6.82   3952844   8901608         0
02:42:22 PM 242828668 243129844  20931436      7.94        24   8496852  18486336      6.79   3954144   8901236         0
02:42:24 PM 242834224 243136684  20925880      7.93        24   8498140  18502432      6.80   3955432   8893284         0
02:42:26 PM 242841588 243144656  20918516      7.93        24   8498732  18520920      6.81   3956024   8885524         0
02:42:28 PM 242839900 243144608  20920204      7.93        24   8500356  18513512      6.80   3957648   8885876         0
02:42:30 PM 242832024 243137660  20928080      7.93        24   8501284  18500760      6.80   3958576   8892088         0
02:42:32 PM 242780368 243086484  20979736      7.95        24   8501764  18511984      6.80   3959056   8944404         0
02:42:34 PM 242776984 243084056  20983120      7.96        24   8502704  18530460      6.81   3959996   8946464         0
02:42:36 PM 242781740 243090416  20978364      7.95        24   8504308  18542424      6.81   3961568   8941016         0
02:42:38 PM 242763284 243071976  20996820      7.96        24   8504308  18520072      6.81   3961600   8959740         0
02:42:40 PM 242621876 242930568  21138228      8.01        24   8504308  18691696      6.87   3961600   9101876         0
02:42:42 PM 242501320 242810020  21258784      8.06        24   8504308  18830236      6.92   3961600   9221668         0
02:42:44 PM 242396548 242705248  21363556      8.10        24   8504308  18896200      6.94   3961600   9324808         0
02:42:46 PM 242212716 242521416  21547388      8.17        24   8504308  19241828      7.07   3961600   9508872         0
02:42:48 PM 242207852 242516568  21552252      8.17        24   8504308  19103372      7.02   3961600   9513792         0
02:42:50 PM 242121740 242430488  21638364      8.20        24   8504308  19207584      7.06   3961600   9599320         0
02:42:52 PM 241680528 241989276  22079576      8.37        24   8504308  19688672      7.23   3961592  10038224         0
02:42:54 PM 241984028 242292792  21776076      8.26        24   8504308  19327896      7.10   3961600   9736932         0
02:42:56 PM 241521404 241830200  22238700      8.43        24   8504308  19814852      7.28   3961600  10197536         0
02:42:58 PM 242791076 243099872  20969028      7.95        24   8504308  18491112      6.79   3961600   8930480         0
02:43:00 PM 242777104 243086872  20983000      7.96        24   8505280  18509164      6.80   3962560   8944264         0
02:43:02 PM 242776212 243087216  20983892      7.96        24   8506524  18527628      6.81   3963780   8944472         0
02:43:04 PM 242776544 243087556  20983560      7.96        24   8506524  18546104      6.81   3963816   8944436         0
02:43:06 PM 242775280 243087424  20984824      7.96        24   8507696  18564580      6.82   3964932   8944476         0
02:43:08 PM 242770404 243083544  20989700      7.96        24   8508652  18583044      6.83   3965924   8948316         0
02:43:10 PM 242768808 243082820  20991296      7.96        24   8509560  18508988      6.80   3966788   8948644         0
02:43:12 PM 242768324 243083140  20991780      7.96        24   8510348  18545940      6.81   3967556   8948580         0
02:43:14 PM 242767856 243083116  20992248      7.96        24   8510776  18545940      6.81   3968032   8948700         0
02:43:16 PM 242767904 243083540  20992200      7.96        24   8511172  18490304      6.79   3968368   8948448         0
02:43:18 PM 242767132 243083444  20992972      7.96        24   8511776  18527256      6.81   3969044   8948488         0
02:43:20 PM 242607816 242924128  21152288      8.02        24   8511776  18741636      6.89   3969076   9108032         0
02:43:22 PM 242486192 242802524  21273912      8.07        24   8511776  18880176      6.94   3969068   9227772         0
02:43:24 PM 242395340 242711688  21364764      8.10        24   8511780  19090296      7.01   3969072   9317268         0
02:43:26 PM 242111184 242427532  21648920      8.21        24   8511780  19217192      7.06   3969100   9600496         0
02:43:28 PM 242233160 242549524  21526944      8.16        24   8511780  19077764      7.01   3969064   9479272         0
02:43:30 PM 242139764 242456128  21620340      8.20        24   8511780  19170808      7.04   3969088   9573700         0
02:43:32 PM 242061716 242378096  21698388      8.23        24   8511780  19192304      7.05   3969092   9651312         0
02:43:34 PM 241604404 241920784  22155700      8.40        24   8511780  19691852      7.24   3969072  10107200         0
02:43:36 PM 241514900 241831220  22245204      8.43        24   8511780  19757624      7.26   3969064  10197064         0
02:43:38 PM 241514196 241830516  22245908      8.43        24   8511780  19794572      7.27   3969072  10197428         0
02:43:40 PM 242772380 243089736  20987724      7.96        24   8512824  18545844      6.81   3970100   8940552         0
02:43:42 PM 242757592 243075844  21002512      7.96        24   8513748  18551508      6.82   3970992   8954560         0
02:43:44 PM 242757960 243076880  21002144      7.96        24   8514380  18588456      6.83   3971672   8954768         0
02:43:46 PM 242757344 243076216  21002760      7.96        24   8514380  18569980      6.82   3971680   8954776         0
02:43:48 PM 242757140 243076300  21002964      7.96        24   8514692  18588456      6.83   3971940   8954776         0
02:43:50 PM 242755832 243076372  21004272      7.96        24   8516048  18606956      6.84   3973280   8954580         0
02:43:52 PM 242754644 243075844  21005460      7.96        24   8516712  18569564      6.82   3973964   8955144         0
02:43:54 PM 242752500 243074936  21007604      7.96        24   8517944  18549072      6.82   3975232   8954572         0
02:43:56 PM 242751580 243075648  21008524      7.97        24   8519568  18548636      6.82   3976812   8954604         0
02:43:58 PM 242751224 243075892  21008880      7.97        24   8520200  18548192      6.82   3977424   8954336         0
02:44:00 PM 242565200 242889904  21194904      8.04        24   8520200  18799868      6.91   3977496   9140236         0
02:44:02 PM 242400576 242725280  21359528      8.10        24   8520200  18904100      6.95   3977516   9303188         0
02:44:04 PM 242406440 242731144  21353664      8.10        24   8520200  18910796      6.95   3977488   9299116         0
02:44:06 PM 242302604 242627308  21457500      8.14        24   8520200  19013248      6.99   3977496   9401944         0
02:44:08 PM 242048360 242373064  21711744      8.23        24   8520200  19413008      7.13   3977484   9653508         0
02:44:10 PM 241946796 242271500  21813308      8.27        24   8520200  19543568      7.18   3977492   9757244         0
02:44:12 PM 241938448 242263152  21821656      8.27        24   8520200  19655676      7.22   3977492   9763528         0
02:44:14 PM 241959392 242284096  21800712      8.27        24   8520200  19337676      7.11   3977492   9744844         0
02:44:16 PM 241499680 241824384  22260424      8.44        24   8520200  19798736      7.27   3977492  10205160         0
02:44:18 PM 241497492 241822196  22262612      8.44        24   8520200  19817208      7.28   3977492  10205924         0
02:44:20 PM 242763776 243088480  20996328      7.96        24   8520200  18531288      6.81   3977492   8942060         0
02:44:22 PM 242750740 243075444  21009364      7.97        24   8520200  18549764      6.82   3977500   8954824         0
02:44:24 PM 242750304 243075008  21009800      7.97        24   8520200  18545252      6.81   3977492   8954600         0
02:44:26 PM 242750632 243075176  21009472      7.97        24   8520200  18545124      6.81   3977492   8954708         0
02:44:28 PM 242750596 243075140  21009508      7.97        24   8520200  18600552      6.83   3977492   8954824         0
02:44:30 PM 242751116 243075660  21008988      7.97        24   8520200  18545156      6.81   3977492   8954584         0
02:44:32 PM 242751868 243076412  21008236      7.96        24   8520200  18582108      6.83   3977492   8954748         0
02:44:34 PM 242751904 243076384  21008200      7.96        24   8520200  18600584      6.83   3977492   8954640         0
02:44:36 PM 242752696 243077160  21007408      7.96        24   8520200  18563196      6.82   3977492   8954596         0
02:44:38 PM 242752056 243076520  21008048      7.96        24   8520200  18581680      6.83   3977500   8955084         0
02:44:40 PM 242752268 243076732  21007836      7.96        24   8520200  18581656      6.83   3977492   8954872         0
02:44:42 PM 242580768 242905232  21179336      8.03        24   8520200  18787276      6.90   3977500   9126040         0
02:44:44 PM 242460716 242785172  21299388      8.08        24   8520200  18907352      6.95   3977492   9246296         0
02:44:46 PM 242323904 242648360  21436200      8.13        24   8520200  19226108      7.06   3977492   9381808         0
02:44:48 PM 242238292 242562748  21521812      8.16        24   8520200  19354532      7.11   3977508   9467204         0
02:44:50 PM 242150172 242474628  21609932      8.19        24   8520200  19216084      7.06   3977492   9555244         0
02:44:52 PM 242065340 242389796  21694764      8.23        24   8520200  19282984      7.09   3977492   9640800         0
02:44:54 PM 241977508 242301964  21782596      8.26        24   8520208  19315084      7.10   3977508   9726672         0
02:44:56 PM 241837268 242161724  21922836      8.31        24   8520208  19859676      7.30   3977500   9866708         0
02:44:58 PM 241465516 241789924  22294588      8.45        24   8520208  19846064      7.29   3977500  10238588         0
02:45:00 PM 242734956 243059332  21025148      7.97        24   8520208  18597328      6.83   3977500   8971568         0
02:45:02 PM 242734300 243058676  21025804      7.97        24   8520208  18615676      6.84   3977516   8972116         0
02:45:04 PM 242735616 243059992  21024488      7.97        24   8520208  18615264      6.84   3977500   8971652         0
02:45:06 PM 242735028 243059404  21025076      7.97        24   8520208  18615252      6.84   3977500   8971680         0
02:45:08 PM 242736012 243060388  21024092      7.97        24   8520208  18615252      6.84   3977496   8971504         0
02:45:10 PM 242733328 243057704  21026776      7.97        24   8520208  18596760      6.83   3977496   8973192         0
02:45:12 PM 242733716 243058092  21026388      7.97        24   8520208  18633712      6.85   3977504   8973388         0
02:45:14 PM 242733308 243057684  21026796      7.97        24   8520208  18596616      6.83   3977496   8973080         0
02:45:16 PM 242733336 243057716  21026768      7.97        24   8520208  18615092      6.84   3977496   8973464         0
02:45:18 PM 242733720 243058100  21026384      7.97        24   8520208  18615092      6.84   3977496   8973164         0
02:45:20 PM 242733904 243058284  21026200      7.97        24   8520208  18596616      6.83   3977496   8972928         0
02:45:22 PM 242588912 242913292  21171192      8.03        24   8520208  18796856      6.91   3977496   9118108         0
02:45:24 PM 242526016 242850396  21234088      8.05        24   8520208  18818796      6.91   3977492   9180356         0
02:45:26 PM 242285560 242609940  21474544      8.14        24   8520208  19091380      7.02   3977496   9418548         0
02:45:28 PM 242129472 242453852  21630632      8.20        24   8520208  19173324      7.05   3977496   9574584         0
02:45:30 PM 242217028 242541408  21543076      8.17        24   8520208  19052788      7.00   3977492   9489512         0
02:45:32 PM 242131452 242455832  21628652      8.20        24   8520208  19175488      7.05   3977496   9575020         0
02:45:34 PM 242045564 242369948  21714540      8.23        24   8520208  19242772      7.07   3977504   9661028         0
02:45:36 PM 241960076 242284476  21800028      8.27        24   8520208  19346880      7.11   3977496   9746476         0
02:45:38 PM 241499292 241823692  22260812      8.44        24   8520208  19807928      7.28   3977496  10207188         0
02:45:40 PM 241498508 241822908  22261596      8.44        24   8520208  19826400      7.29   3977496  10207336         0
02:45:42 PM 242759924 243084324  21000180      7.96        24   8520208  18577664      6.83   3977496   8948168         0
02:45:44 PM 242758404 243082808  21001700      7.96        24   8520212  18590052      6.83   3977496   8950284         0
02:45:46 PM 242750060 243074464  21010044      7.97        24   8520212  18627004      6.84   3977500   8956716         0
02:45:48 PM 242750964 243075368  21009140      7.97        24   8520212  18571596      6.82   3977496   8956196         0
02:45:50 PM 242750932 243075336  21009172      7.97        24   8520212  18589732      6.83   3977496   8956196         0
02:45:52 PM 242751700 243076104  21008404      7.96        24   8520212  18608208      6.84   3977496   8956324         0
02:45:54 PM 242750004 243074408  21010100      7.97        24   8520208  18511608      6.80   3977492   8956352         0
02:45:56 PM 242750184 243074588  21009920      7.97        24   8520208  18492816      6.80   3977492   8956460         0
02:45:58 PM 242749988 243074392  21010116      7.97        24   8520208  18511292      6.80   3977496   8956380         0
02:46:00 PM 242751532 243075936  21008572      7.97        24   8520208  18511304      6.80   3977496   8956224         0
02:46:02 PM 242671996 242996400  21088108      8.00        24   8520208  18623752      6.84   3977496   9034836         0
02:46:04 PM 242550736 242875140  21209368      8.04        24   8520208  18770600      6.90   3977528   9155152         0
02:46:06 PM 242430740 242755176  21329364      8.09        24   8520208  18907352      6.95   3977496   9274872         0
02:46:08 PM 242327964 242652400  21432140      8.13        24   8520208  19047216      7.00   3977488   9377520         0
02:46:10 PM 242047496 242371932  21712608      8.23        24   8520208  19377416      7.12   3977500   9657776         0
02:46:12 PM 242139804 242464240  21620300      8.20        24   8520208  19235544      7.07   3977500   9566264         0
02:46:14 PM 242053108 242377544  21706996      8.23        24   8520208  19339780      7.11   3977500   9651972         0
02:46:16 PM 241632156 241956592  22127948      8.39        24   8520208  19794196      7.27   3977500  10073296         0
02:46:18 PM 234325908 234650360  29434196     11.16        24   8520208  27034764      9.93   3977496  17368500         0
02:46:20 PM 241489328 241813780  22270776      8.44        24   8520208  19885224      7.31   3977500  10216072         0
02:46:22 PM 242758900 243083352  21001204      7.96        24   8520208  18618012      6.84   3977500   8948760         0
02:46:24 PM 242758092 243082560  21002012      7.96        24   8520216  18590936      6.83   3977500   8948760         0
02:46:26 PM 242758068 243082536  21002036      7.96        24   8520216  18590936      6.83   3977500   8948644         0
02:46:28 PM 242755140 243079608  21004964      7.96        24   8520216  18627888      6.84   3977504   8952160         0
02:46:30 PM 242750624 243075084  21009480      7.97        24   8520216  18627900      6.84   3977504   8956492         0
02:46:32 PM 242750876 243075344  21009228      7.97        24   8520216  18591004      6.83   3977504   8956232         0
02:46:34 PM 242750868 243075336  21009236      7.97        24   8520216  18591056      6.83   3977512   8956564         0
